Taxonomic Level,Condition,Mechanisms of missingness,Mask Ratio,Iteration,Pseudo Count,Seed,MSE (CLR),RMSE (CLR),MAE (CLR),R2 (CLR),Pearson (CLR),Spearman (CLR),CCC (CLR),NRMSE (CLR),MSE (RA),RMSE (RA),MAE (RA),R2 (RA),Pearson (RA),Spearman (RA),CCC (RA),NRMSE (RA),MSE (RA non-zero),RMSE (RA non-zero),MAE (RA non-zero),R2 (RA non-zero),Pearson (RA non-zero),Spearman (RA non-zero),CCC (RA non-zero),NRMSE (RA non-zero),Aitchison distance (mean),Bray-Curtis (mean),Jensen-Shannon (mean),Zero precision,Zero recall,Zero F1,Rarefaction depth,Richness true,Richness imputed,Richness abs diff,Evenness true,Evenness imputed,Evenness abs diff,Shannon eff true,Shannon eff imputed,Shannon eff abs diff,Bray-Curtis rarefied,Jaccard index rarefied
l5_family,A,MAR,0.1,0,1.4153880994168601e-05,2113233589,1.0865967936184224,1.0423995364630696,0.7026827863838779,0.869600384458081,0.9418314274074681,0.6782828136430954,0.9212420845132487,0.09864609585110959,9.208820946172692e-05,0.00959626018101463,0.0027742590760606563,0.971981272485082,0.9887257807578876,0.8043454195463396,0.9847328650633022,0.022810759347084944,0.00026519967456414156,0.01628495239674165,0.007697917057768819,0.9687426028964177,0.9877396478348328,0.8849824456679797,0.9828133519201524,0.03871492778907743,8.955166600501602,0.10264758581424428,0.14308731166632058,,0.0,,19037,25.333333333333332,62.5,37.166666666666664,0.516512954476014,0.46613768417279977,0.05037527030321426,5.321279129122478,6.882232342273563,1.560953213151085,0.10304494755826372,0.4003411188009567
l5_family,A,MAR,0.1,1,1.4153880994168601e-05,938171454,1.7732587612197666,1.331637623837569,0.921610495024506,0.7941282839105671,0.8939272115472786,0.6778245134071902,0.8773078115602706,0.11504280628327905,0.00012347359673385339,0.011111867382841346,0.003294629328133535,0.9606755927699352,0.9812092999443381,0.7017791786603267,0.97902722964759,0.02458850983424019,0.00029331895440261904,0.01712655699206992,0.007677036325207066,0.9572649254755288,0.9796417041491957,0.7279251688741973,0.9770925781267202,0.037902344527778666,10.440067267806347,0.1219012851409408,0.1677656069170391,,0.0,,18900,30.857142857142858,57.857142857142854,27.0,0.5213169960178143,0.4733392236080549,0.04797777240975938,5.925446614497239,6.86324787168996,1.1792406400892932,0.12261526832955405,0.4806389336529896
l5_family,A,MAR,0.1,3,1.4153880994168601e-05,3380356857,1.73249033109487,1.3162409851903527,0.893420942115045,0.7958419738939095,0.8946332536581652,0.6300527146457463,0.8788030234488117,0.11371266023934196,0.00010918148545233742,0.010448994470873139,0.0031432686715127654,0.9660516313023412,0.9844703677126456,0.7983201980018328,0.9817692836969217,0.024671107249526973,0.00026293690028773956,0.016215329176052503,0.00740988036928768,0.9631147427851365,0.9832431392438895,0.7582415857482704,0.980079645663683,0.038290776194786005,10.412345925651177,0.11630094084597231,0.16154881291085288,,0.0,,18900,30.428571428571427,57.57142857142857,27.142857142857142,0.5101623832370782,0.46772099094399744,0.04244139229308075,5.684554110309855,6.654687858403608,0.970133748093754,0.11778533635676491,0.5046594840246327
l5_family,A,MAR,0.1,4,1.4153880994168601e-05,1757822838,1.2429402461839418,1.1148723003931624,0.8067099271786483,0.8535197873561888,0.9365471805488446,0.7471228340516923,0.9091860463841976,0.10411149877845004,9.727130724945455e-05,0.009862621722922084,0.0029474997462065355,0.9693596935791681,0.9872008962575748,0.7865965759707356,0.9833233190366183,0.023594891004954124,0.00027350229236461495,0.016537904715066384,0.00795926746829089,0.9658294619023248,0.9859936738289808,0.8846718239215533,0.9812406776723386,0.03956954547783812,9.586391837245555,0.10905749060964183,0.1504045722104637,,0.0,,18900,26.285714285714285,65.14285714285714,38.857142857142854,0.5226617224527159,0.46847926712536925,0.05418245532734667,5.50958723600345,7.089616237306794,1.580029001303343,0.10899470899470899,0.3987741133870565
l5_family,A,MAR,0.1,5,1.4153880994168601e-05,3878830215,0.9929795851941371,0.9964836100980975,0.70744557433475,0.8845227329992476,0.9510122302560156,0.7409833995247103,0.9302680727607399,0.09590220369705726,8.395310317066002e-05,0.009162592600932338,0.00293461081706049,0.9726746139153994,0.9877358806263047,0.8216635226577851,0.9853977905903109,0.023075680386813523,0.00022824016864943675,0.01510761955601996,0.00775790360466699,0.96958327250265,0.9864887792668047,0.891955459755881,0.9836368213001174,0.0380530644328202,8.519005403531281,0.10858060023123813,0.14149393176647893,,0.0,,19037,26.4,61.0,34.6,0.5377810163896777,0.4768654533891933,0.06091556300048436,5.812204327172266,7.130931314527802,1.3187269873555363,0.10832589168461418,0.4347195858498706
l5_family,A,MAR,0.1,7,1.4153880994168601e-05,4094984721,1.2053900743275048,1.0979025796160171,0.8075563619965845,0.8604292267623529,0.9441811714872543,0.6879059832692895,0.9122077871561354,0.10383123728946715,0.000171244056400256,0.013086025233058967,0.0037683884661405542,0.9458537811526253,0.9761567485428824,0.8093286174399875,0.9698557837774029,0.030649139312583867,0.0004834814262628863,0.02198821107463921,0.010318696249319938,0.9395012195763011,0.9737599237807977,0.8745495892378342,0.9659224390386506,0.05150553019931839,9.398082750703429,0.1394303732472005,0.1739915029783436,,0.0,,19037,26.0,68.0,42.0,0.5307394856542773,0.4780586652984951,0.052680820355782254,5.630312378472512,7.598370229155082,1.968057850682571,0.1411461890003677,0.38255477915804004
l5_family,A,MAR,0.1,8,1.4153880994168601e-05,3161854358,1.1120534624460592,1.054539455139569,0.7874772034203217,0.8695858451384978,0.9438284772541226,0.7580094999583563,0.9203344542645296,0.09847367977668045,0.0001451557987377603,0.012048062032449878,0.0035082073327698878,0.9556908968116858,0.9803818951365083,0.8134342531725739,0.9756777485311903,0.026660135651536094,0.0003735122538296187,0.01932646511469748,0.008824886945315321,0.9514433375486668,0.9787579560820777,0.8855909353542887,0.9731203723060099,0.0427708687616707,9.044464576171414,0.12980367131248588,0.1530089752844756,,0.0,,19037,28.125,64.875,36.75,0.5153063910819051,0.4642214012861347,0.05108498979577051,5.567408203593425,6.960264087106355,1.3928558835129299,0.12983926038766613,0.4233090150513048
l5_family,A,MAR,0.1,9,1.4153880994168601e-05,4182862724,1.1242619567916226,1.060312197794415,0.7951854979488931,0.8705839075128612,0.947888730825904,0.7865505060466778,0.9196020319427424,0.10175358524955501,0.0001537213103636997,0.012398439835870467,0.0036268789339886027,0.9523103161847823,0.9800046402488289,0.8101816195757765,0.9733892402072645,0.02903872665844271,0.0004153785794167098,0.020380838535661625,0.009533983595877293,0.9472375560945543,0.9783364133255446,0.904083663520277,0.9702311811340488,0.04774043819430778,9.069343068911216,0.1341945205575783,0.15842215253729308,,0.0,,18900,26.875,65.5,38.625,0.5267837148744712,0.47834440816499646,0.04843930670947473,5.656693937729983,7.4256103279686965,1.7689163902387124,0.1340873015873016,0.4080506596495788
l5_family,B,MAR,0.1,1,1.53400113516084e-05,188038243,1.6867371685718557,1.298744458533647,0.9935942021071772,0.8026122881856523,0.9103858149041544,0.7016164736867652,0.8734964436057906,0.12400585474516437,0.00019822601620297253,0.014079276124963689,0.0041618742834785985,0.933016305459222,0.9688373144382577,0.7722521235549458,0.9627639213630257,0.0349715534558137,0.0005031289913318355,0.02243053702727234,0.010214039929990306,0.9260545897677792,0.965805307341183,0.8176606655139682,0.9584884812484014,0.05572616001998406,11.048519411200822,0.15398934848870816,0.18776990458508627,,0.0,,12715,28.5,63.75,35.25,0.5388170795665614,0.4999161966325004,0.038900882934061,6.097150113923359,7.982251264698371,1.8851011507750135,0.15776641761698781,0.4468949039130642
l5_family,B,MAR,0.1,2,1.53400113516084e-05,3664258243,1.5298708191263646,1.2368794683098125,0.9444571933121338,0.8207219222601806,0.924917980247573,0.7535079137320216,0.8839913068265464,0.11743507351007204,0.00023628978222747093,0.015371720210421179,0.004120918044922498,0.9201238589188877,0.9614228197068724,0.8081058320622968,0.9557173895940934,0.03821974219892762,0.0006201121020624552,0.02490205015781743,0.010454775378081474,0.9113004745005192,0.9572649039754513,0.8037434993341435,0.9503236826378316,0.06192775244530471,10.602516357613993,0.15247396766213248,0.1970069254239423,,0.0,,12715,27.833333333333332,64.33333333333333,36.5,0.5424434083471593,0.49318358001232615,0.04925982833483323,6.100094904919369,7.797302433091727,1.697207528172358,0.1530606894743741,0.4291731855839071
l5_family,B,MAR,0.1,3,1.53400113516084e-05,371770443,1.4003592128301852,1.1833677420101434,0.9250260089162013,0.8344493016980915,0.9313158520523858,0.7189275445968011,0.8940407429611817,0.11330000961264763,0.00018053401707609972,0.01343629476738657,0.004044942698745651,0.9414811413728559,0.9746538585398059,0.796271741891434,0.9671063086781417,0.033374450258318325,0.0004768884592695944,0.021837775968939564,0.010356217366758005,0.9352096007140702,0.9723831597434306,0.8474482131442098,0.9631545192287362,0.05425669382332415,9.966484134127597,0.14966287985358911,0.18059090414507742,,0.0,,9779,27.8,58.6,30.8,0.5280038311331546,0.4999636960963259,0.028040135036828652,5.812679906565217,7.654372891571228,1.9338872083142449,0.1484814398200225,0.4709825611270815
