Taxonomic Level,Learning Rate,Dropout Rate,Number of Epochs,Condition,Mechanisms of missingness,Mask Ratio,Iteration,Pseudo Count,Seed,MSE (CLR),RMSE (CLR),MAE (CLR),R2 (CLR),Pearson (CLR),Spearman (CLR),CCC (CLR),NRMSE (CLR),MSE (RA),RMSE (RA),MAE (RA),R2 (RA),Pearson (RA),Spearman (RA),CCC (RA),NRMSE (RA),MSE (RA non-zero),RMSE (RA non-zero),MAE (RA non-zero),R2 (RA non-zero),Pearson (RA non-zero),Spearman (RA non-zero),CCC (RA non-zero),NRMSE (RA non-zero),Aitchison distance (mean),Bray-Curtis (mean),Jensen-Shannon (mean),Zero precision,Zero recall,Zero F1,Rarefaction depth,Richness true,Richness imputed,Richness abs diff,Evenness true,Evenness imputed,Evenness abs diff,Shannon eff true,Shannon eff imputed,Shannon eff abs diff,Bray-Curtis rarefied,Jaccard index rarefied
l7_species,0.001,0.7,3000,all,MCAR,0.1,0,5.015249999995e-05,3835299529,0.566828449383873,0.752880102927334,0.15223544584848703,0.23278041405780991,0.49644966715207794,0.804888781429139,0.41003322699991895,0.07451791316858991,0.00037487162645032617,0.019361601856518126,0.001926107506641907,-0.058145791124844415,0.2528859976005834,0.0691797191145452,0.22353727013032784,0.02141813049513163,0.009926522326408591,0.09963193427013545,0.03593916415628752,-0.10970925653279417,0.2127962723163751,0.4027900070679536,0.17487692821599918,0.11030024911112538,21.418722683428577,0.8022237765163541,0.8260372164813146,,0.0,,1423,27.77777777777778,429.24444444444447,401.46666666666664,0.5498228909567584,0.6727236870159222,0.15332825923020932,6.820201446394181,74.9200794456466,68.61228439846653,0.803529319903178,0.04337817947183908
l7_species,0.001,0.7,3000,all,MCAR,0.1,1,5.015249999995e-05,3291810468,0.5663966396750426,0.7525932763950544,0.14305549187205135,0.23293545098575297,0.4972419438051159,0.8897870115347093,0.4118101484675468,0.07446540724471733,0.0004284366283634391,0.02069871078988832,0.0019710380826773646,-0.11223129894191053,0.1968520839674805,0.04727393057537272,0.1716531680272977,0.022585979479336344,0.01150610649999503,0.10726652087205509,0.037207443820462476,-0.1978203060705761,0.13642730643605333,0.3843910693638217,0.11428507528692257,0.11713850672880419,21.302572744712897,0.8209373614351223,0.8396349583893472,,0.0,,1395,28.466666666666665,422.6222222222222,394.15555555555557,0.5326855258368842,0.67765505487281,0.2261414017623373,7.543911596850798,81.81920949909463,74.84344488515157,0.8225089605734768,0.04622932542300105
l7_species,0.001,0.7,3000,all,MCAR,0.1,2,5.015249999995e-05,4004043493,0.6552252667984028,0.8094598611409973,0.16348142580356761,0.2721325408203338,0.5345370725493402,0.8869980310797145,0.4495665414988662,0.08126656971817792,0.0002973749619237834,0.017244563256974165,0.0017914778257330866,-0.051398381084187594,0.33824638952040115,0.08014151737519228,0.3241573337541179,0.020928919115266845,0.006498464905358712,0.08061305666800331,0.030252743311493396,-0.14138673730172102,0.2838209290592243,0.31915571319580033,0.2676381651916529,0.09791175028059536,23.020825594569455,0.7461505144178305,0.7744629662118369,,0.0,,1575,35.2,362.2888888888889,327.0888888888889,0.586931804272302,0.6011434279333662,0.1836458518186634,9.451776528089516,55.08542122255805,46.36290398991462,0.7475696649029981,0.05945025918757381
l7_species,0.001,0.7,3000,all,MCAR,0.1,3,5.015249999995e-05,3743898904,0.6544237981308141,0.8089646457854719,0.1659212150789859,0.22798052187069817,0.4956152519658246,0.8577746803890984,0.41315553104888014,0.07885846729059547,0.00037345737792290586,0.019325045353708898,0.0019059726984686207,-0.08050808270988297,0.2617614043441272,0.061277394928002916,0.2388896372571578,0.02021500238892753,0.00862318813007609,0.09286112281291935,0.032306394186397296,-0.15251520879858815,0.2115552996141504,0.2674563728253359,0.18739783699524556,0.09719210434904427,22.81261167288,0.7938376289121803,0.8161979257701446,,0.0,,1864,33.44444444444444,445.8888888888889,412.44444444444446,0.5588822450343064,0.6402680941827679,0.22912344930386389,8.719022553806978,109.08833999699722,101.75979719368843,0.7950643776824035,0.0510426239572977
l7_species,0.001,0.7,3000,all,MCAR,0.1,4,5.015249999995e-05,1691139647,0.631692722794851,0.794790993151565,0.1574397946024275,0.21172530573452042,0.47327011896838966,0.8467601804500822,0.36626649242012044,0.0788163184445499,0.0003752934634857073,0.019372492443815982,0.00203169692499798,-0.05562250409902725,0.18240295185550814,0.04925365569378573,0.14241943929971904,0.022742449406238617,0.009589771642330679,0.09792737943154957,0.033335703562240124,-0.13698164326667395,0.13096272274626986,0.3276696356591543,0.09479828649361108,0.11503280584732296,22.467380294300973,0.8462017692616589,0.861171784972842,,0.0,,1918,30.6,566.1333333333333,535.5333333333333,0.5549543216162504,0.7648553251011895,0.30754687256029706,8.058585936172049,251.64920750790878,244.59660730522043,0.8500868960722978,0.04467833588777835
l7_species,0.001,0.7,3000,all,MCAR,0.1,5,5.015249999995e-05,2490210396,0.6066282002389352,0.7788634028113884,0.1561328024307162,0.28103693507206096,0.5446173880371413,0.8701627022786637,0.45639137303843774,0.07810846054484567,0.00028913159735528577,0.017003870069936602,0.0017471062182657527,0.05862849411488491,0.38234992600682044,0.06741617062296137,0.35524137364235064,0.020104086061630333,0.006827008495403991,0.08262571328227061,0.029774664115889537,-0.02956215489084535,0.33238795089374795,0.3571248326364127,0.30302701770021234,0.09776962028220806,22.094196252172118,0.727669739907686,0.7651638869925471,,0.0,,1459,32.4,386.0444444444444,353.64444444444445,0.5808433854096783,0.6436226295356338,0.18662557242231617,8.5992517720969,78.84167206237566,70.9218471452057,0.7274388850811058,0.05521827816611451
l7_species,0.001,0.7,3000,all,MCAR,0.1,6,5.015249999995e-05,1096912140,0.6144603907179527,0.7838752392555544,0.1556319842081329,0.23950356113165072,0.5066219689127223,0.8821601785817138,0.42504962745231584,0.0769023803032188,0.0004412041293991006,0.02100485966149502,0.0019272039332277,-0.15249266202867373,0.21616512413683012,0.059908832452022366,0.19905381034539155,0.022920042416971514,0.010381034981861482,0.1018873641913534,0.0342807085018197,-0.21208827731012958,0.1652012170083017,0.3070116256040948,0.14731069529936067,0.1112405308931153,22.17319494976963,0.8026804381893371,0.8229546485568007,,0.0,,1918,32.91111111111111,448.44444444444446,415.53333333333336,0.527961799130857,0.6165663086580627,0.19616784364877538,7.701464739074168,79.44097038250683,72.66569201940742,0.8064418954929904,0.04999607401731099
l7_species,0.001,0.7,3000,all,MCAR,0.1,7,5.015249999995e-05,1188648582,0.7082489426158214,0.841575274479842,0.1759401678229452,0.19777904819215486,0.4662457166945676,0.8773392125173296,0.3867432227200059,0.08379934280414586,0.0003197732119023452,0.017882203776446157,0.0018675105866425542,-0.0098747789814011,0.30819819311402913,0.025011391041102705,0.2783773512978757,0.02077632726813331,0.0069565032112683,0.08340565455212434,0.029335640645406193,-0.07886696381118696,0.2628417828205181,0.2980503254371805,0.2299061082104726,0.09696306447211114,23.584618869555975,0.777818159336624,0.8051575279340927,,0.0,,1918,35.355555555555554,466.6,431.24444444444447,0.5729098764921229,0.6473783854040527,0.19060225017039994,9.37151904906067,70.86367109291857,63.556607404887956,0.7770362646275054,0.049665274797672986
l7_species,0.001,0.7,3000,all,MCAR,0.1,8,5.015249999995e-05,166929056,0.5987907807248842,0.7738157278867394,0.15347221865785177,0.24747714839128165,0.5133434682038082,0.8953862227544406,0.44185057647824355,0.07547888702615595,0.0003766273033087666,0.0194068880377243,0.00184958561846511,0.006609886200001802,0.29602231222351777,0.03915887285900909,0.2570937253972418,0.020333154564138714,0.009332342437422456,0.0966040497982484,0.03292631483960026,-0.06635989251288743,0.24254054124699867,0.3643906004800466,0.20372587408031143,0.10127176177816286,21.699510989948635,0.7703524100907183,0.7999807600764239,,0.0,,1864,31.644444444444446,436.6666666666667,405.02222222222224,0.5363976349993906,0.6449180431872112,0.23197055938945646,8.167719250104485,114.34940731185931,107.80483994363571,0.7696351931330471,0.04845348795291023
l7_species,0.001,0.7,3000,all,MCAR,0.1,9,5.015249999995e-05,4212537863,0.5848054990887348,0.7647257672451837,0.14908365114063765,0.26028162462587223,0.5243404433417468,0.8794455006250543,0.44611582992698756,0.07682131558907489,0.00034929478187428634,0.018689429682959464,0.0018487071143806425,-0.07540845808612495,0.28052952988104146,0.07349779307975922,0.259897196694564,0.02267325819958246,0.008533212650508548,0.09237538985308018,0.03337150851411914,-0.1566210552060332,0.22540860852433262,0.35033955798498867,0.20259614457981906,0.11216228558202339,21.675108179509976,0.7699865131395378,0.7979594945376547,,0.0,,1414,30.977777777777778,379.44444444444446,348.46666666666664,0.5594871500354016,0.643391862845189,0.16975801962277115,7.852630590020358,68.19947428319831,60.673471345360454,0.7693540782649695,0.05214927870462278
